captured_at,arb_id,percent,event_name,sport,league,bookmakers
2026-02-20T22:36:40.743310+00:00,46c20341b4e7a441d7023dddba55565e,0.978,Uniao Corinthians - Basquete Osasco,Basquete,Brazil. NBB,[]
2026-02-20T22:36:40.743317+00:00,82b0cfcfb3773b5972a47c6ea11eafa9,0.978,"Hayen, Alejandro/Peck, Joshua - Blando, Jayson/Blando, Michael",Tenis,World. ITF. San Jose. Doubles,[]
2026-02-20T22:36:40.743324+00:00,2d64a663c0f03f4829763e94a4dfe0d1,0.978,"Iasciuc, Victor - Sulima, Iliya",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:36:40.743331+00:00,3b91ba7adf730cd9fea413c232f574c0,0.978,Escola SLB O Azemeis - GRI Brandoense,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:43.190749+00:00,24f99f4837f8e8c3c5e1cdb3a6421030,1.0,Spain (Nightxx) - Argentina (Deroll),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:43.190762+00:00,3d93bd10bd36a033575ae103d50cfb3c,1.0,UAAARoso - Valongo,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:43.190769+00:00,567ab347e01ddd18024f42c772c356ad,1.0,Germany (Kavviro) - England (Tikitakamaster),Sport 39,Electronic Leagues. eSports Battle,[]
2026-02-20T22:36:43.190774+00:00,85ed922cc4bb9caca22dae83ddc1bcc5,0.998,Estrela Amadora - Tondela,Futebol,Portugal. Primeira Liga,[]
2026-02-20T22:36:43.190778+00:00,e2f60198d6797f0152d06f626bea5da5,0.998,"Korda, Sebastian - Ruud, Casper",Tenis,World. ATP. Delray Beach. Singles,[]
2026-02-20T22:36:43.190783+00:00,943d4e63ec710a91e922fed9c1854b33,0.998,"Volhejn, Dan - Klimenta, Matous",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:43.190787+00:00,5b81d585195642498331bca0562f3fa1,0.998,Renasce Voleibol Sorocaba Women - Tijuca TC Women,Volei,Brazil. Superliga Women,[]
2026-02-20T22:36:43.190791+00:00,972694a0df1851e8f6a7c12a2fb33844,0.996,Atletico FC Cali - Boyaca Patriotas FC,Futebol,Colombia. Primera B,[]
2026-02-20T22:36:43.190795+00:00,85d37aeeee616f40fc0b953e00b1f392,0.996,Estudiantes La Plata - CA Sarmiento,Futebol,Argentina. Primera Division,[]
2026-02-20T22:36:43.190799+00:00,15e5f364c0f59f3bc85348e6e3ea6e41,0.996,"Hanacek, Josef - Stehlik, Martin",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:36:43.190804+00:00,18e4ea6b0f5abcdd43d6aa982aa71f3f,0.996,Sesi Bauru Women - Regatas Lima Women,Volei,South America. Club Championship Women,[]
2026-02-20T22:36:43.190809+00:00,36f2948eabf0e4a53613e0b3fb7e0cb1,0.99,Imperial - Sharks.cn ,Sport 47,Counter-Strike 2. ESL Challenger,[]
2026-02-20T22:36:43.190813+00:00,2a02cb5e51063d58ee3000d42bae4b96,0.99,Disguised - Team Liquid,Sport 48,LCS,[]
2026-02-20T22:36:43.190818+00:00,755385aa2873a34e4b1469b40f461edd,0.98,"Skacelik, Richard - Cernin, Tomas",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
2026-02-20T22:36:43.190822+00:00,36c99e3d9d427ee565439fcd72d80cb3,0.979,"Kosacky, Adam - Bochnak, David",Sport 13,World. TTCup. Singles,[]
2026-02-20T22:36:43.190825+00:00,63a315b110bc8e963b623784efcaf793,0.978,Uniao Corinthians - Basquete Osasco,Basquete,Brazil. NBB,[]
2026-02-20T22:36:43.190829+00:00,6321639a2f13c4ba32915c92b064f466,0.978,"Hayen, Alejandro/Peck, Joshua - Blando, Jayson/Blando, Michael",Tenis,World. ITF. San Jose. Doubles,[]
2026-02-20T22:36:43.190833+00:00,a9da6bfac32b652d1d8e7c0cd14377af,0.978,"Iasciuc, Victor - Sulima, Iliya",Sport 13,World. Setka Cup. Singles,[]
2026-02-20T22:36:43.190837+00:00,3b91ba7adf730cd9fea413c232f574c0,0.978,Escola SLB O Azemeis - GRI Brandoense,Basquete,Portugal. Taca de Portugal,[]
2026-02-20T22:36:43.190841+00:00,c239568f9a20882023371263a8411b81,0.978,"Kadavy, Simon - Janata, Tomas",Sport 13,Czech Republic. Czech Liga Pro. Singles,[]
